code,guess,beach
G33,15,parc-des-pierrettes
G35,5,parc-des-pierrettes
G67,30,parc-des-pierrettes
G70,5,parc-des-pierrettes
G74,15,parc-des-pierrettes
G89,10,parc-des-pierrettes
G95,10,parc-des-pierrettes
Gfrags,7,parc-des-pierrettes
Gfoam,5,parc-des-pierrettes
G200,200,plage-de-st-sulpice
G177,100,plage-de-st-sulpice
G178,300,plage-de-st-sulpice
G10,70,plage-de-st-sulpice
G100,150,plage-de-st-sulpice
G112,70,plage-de-st-sulpice
G117,50,plage-de-st-sulpice
G21,100,plage-de-st-sulpice
G23,20,plage-de-st-sulpice
G24,50,plage-de-st-sulpice
G25,200,plage-de-st-sulpice
G27,300,plage-de-st-sulpice
G30,150,plage-de-st-sulpice
G31,100,plage-de-st-sulpice
G32,100,plage-de-st-sulpice
G33,90,plage-de-st-sulpice
G35,50,plage-de-st-sulpice
G67,90,plage-de-st-sulpice
G70,30,plage-de-st-sulpice
G74,100,plage-de-st-sulpice
G89,70,plage-de-st-sulpice
G95,100,plage-de-st-sulpice
Gfrags,300,plage-de-st-sulpice
Gfoam,150,plage-de-st-sulpice
G200,5,plage-de-st-sulpice
G177,3,plage-de-st-sulpice
G178,10,plage-de-st-sulpice
G10,7,plage-de-st-sulpice
G100,10,plage-de-st-sulpice
G112,15,plage-de-st-sulpice
G117,10,plage-de-st-sulpice
G21,10,plage-de-st-sulpice
G23,10,plage-de-st-sulpice
G24,15,plage-de-st-sulpice
G25,10,plage-de-st-sulpice
G27,30,plage-de-st-sulpice
G30,10,plage-de-st-sulpice
G31,10,plage-de-st-sulpice
G32,10,plage-de-st-sulpice
G33,10,plage-de-st-sulpice
G35,15,plage-de-st-sulpice
G67,5,plage-de-st-sulpice
G70,0,plage-de-st-sulpice
G74,10,plage-de-st-sulpice
G89,3,plage-de-st-sulpice
G95,10,plage-de-st-sulpice
Gfrags,10,plage-de-st-sulpice
Gfoam,10,plage-de-st-sulpice
G200,35,plage-de-st-sulpice
G177,30,plage-de-st-sulpice
G178,40,plage-de-st-sulpice
G10,30,plage-de-st-sulpice
G100,20,plage-de-st-sulpice
G112,20,plage-de-st-sulpice
G117,20,plage-de-st-sulpice
G21,30,plage-de-st-sulpice
G23,20,plage-de-st-sulpice
G24,30,plage-de-st-sulpice
G25,40,plage-de-st-sulpice
G27,50,plage-de-st-sulpice
G30,30,plage-de-st-sulpice
G31,20,plage-de-st-sulpice
G32,30,plage-de-st-sulpice
G33,30,plage-de-st-sulpice
G35,35,plage-de-st-sulpice
G67,30,plage-de-st-sulpice
G70,15,plage-de-st-sulpice
G74,0,plage-de-st-sulpice
G89,30,plage-de-st-sulpice
G95,20,plage-de-st-sulpice
Gfrags,30,plage-de-st-sulpice
Gfoam,25,plage-de-st-sulpice
G200,8,plage-de-st-sulpice
G177,10,plage-de-st-sulpice
G178,15,plage-de-st-sulpice
G10,20,plage-de-st-sulpice
G100,10,plage-de-st-sulpice
G112,10,plage-de-st-sulpice
G117,7,plage-de-st-sulpice
G21,20,plage-de-st-sulpice
G23,15,plage-de-st-sulpice
G24,20,plage-de-st-sulpice
G25,10,plage-de-st-sulpice
G27,20,plage-de-st-sulpice
G30,20,plage-de-st-sulpice
G31,5,plage-de-st-sulpice
G32,5,plage-de-st-sulpice
G33,10,plage-de-st-sulpice
G35,15,plage-de-st-sulpice
G67,10,plage-de-st-sulpice
G70,0,plage-de-st-sulpice
G74,5,plage-de-st-sulpice
G89,50,plage-de-st-sulpice
G95,20,plage-de-st-sulpice
Gfrags,10,plage-de-st-sulpice
Gfoam,10,plage-de-st-sulpice
G200,60,parc-des-pierrettes
G177,100,parc-des-pierrettes
